,low_medi_devi,low_mean_devi,high_medi_devi,high_mean_devi
k,0.127068920160065,0.1691897250203951,0.14756653815272713,0.19652613962652588
v,0.127068920160065,0.1691897250203951,0.14756653815272713,0.19652613962652588
