,ra,dec,z,z_form,rich,age,origin_ID
1910,137.90472599672577,6.569069667667952,0.24643789231777186,2.33557,30.92604637145996,7.961592371966429,2369.0
1911,194.5193490505637,29.800361856804336,0.24004295468330386,2.2587599999999997,29.507333755493164,7.929498500100763,2384.0
1912,163.52415982982373,10.222828921834328,0.21528224647045133,1.71745,28.25642585754394,7.308746656290964,2385.0
1913,18.570972856212368,25.88404020700065,0.1963907778263092,2.1171,22.184946060180664,8.196597995715358,2391.0
1914,219.39843294424892,-0.5567102272822919,0.17261436581611633,1.7671299999999999,22.856164932250977,7.873876756945613,2393.0
1915,170.6130994923122,25.19007718842288,0.2573719322681427,1.6698,29.30901908874512,6.776048830277125,2400.0
1916,39.46804827308721,-4.181995589884249,0.2494294792413712,1.1575799999999998,30.620946884155284,5.47941567479298,2410.0
1917,173.91659721646266,30.154949880176808,0.20729044079780576,1.92985,21.19337272644043,7.785508553602781,2468.0
1918,207.37319188196915,5.895161161069536,0.2452408373355865,1.8189799999999998,27.31061744689941,7.1925124355919285,2477.0
1919,40.303254358543775,3.630438013134471,0.2707622647285461,2.59481,27.24959754943848,8.010223496769335,2479.0
1920,181.5146921429612,13.831466006629155,0.21660678088665009,2.05159,25.48002052307129,7.881426060672532,2487.0
1921,145.46972002267242,23.111898422483602,0.290224552154541,8.777389999999999,30.92604637145996,9.763176286451834,2522.0
1922,247.0094929176669,46.59768044248291,0.22320659458637246,1.31344,23.786718368530273,6.2431699973649275,2542.0
1923,159.41275559963069,10.08933495589706,0.2968624830245972,2.2587599999999997,28.74458503723144,7.3676821066126355,2554.0
1924,147.73092914034606,3.989233355446864,0.21083663403987885,2.18605,24.93084144592285,8.138129602905195,2567.0
1925,199.1305479621297,-1.086638021099979,0.2649593651294708,1.92985,25.846139907836925,7.1895875459508085,2610.0
1926,139.28319256784442,55.15234857734835,0.19077304005622864,2.1171,27.37163734436035,8.258133779212693,2623.0
1927,247.2954033096365,48.82532759391327,0.19923451542854306,2.05159,23.87824821472168,8.067987382850474,2647.0
1928,30.745098556395078,4.1352987874690035,0.2821511924266816,3.45211,28.134386062622074,8.579800546155644,2653.0
1929,123.26272989861195,13.438457610885008,0.19378925859928128,1.41971,26.471593856811534,6.853926239225515,2663.0
1930,254.5332383573155,27.041370215844914,0.28519150614738464,2.33557,28.424230575561523,7.577092930401218,2664.0
1931,204.19327694763126,12.696124663329435,0.2767484784126282,2.05159,31.00232124328613,7.268841841040302,2670.0
1932,206.71344376660358,41.86519738973573,0.2565982043743133,3.45211,23.725698471069325,8.83208573084854,2680.0
