,low_medi_devi,low_mean_devi,high_medi_devi,high_mean_devi
k,0.12261954756613846,0.16736773023205131,0.15040250128844157,0.1954053820706836
v,0.12261954756613846,0.16736773023205131,0.15040250128844157,0.1954053820706836
