,lgM,lg_rich
0,10.0,1.3871057464557204
1,10.068965517241379,1.3789871233726885
2,10.137931034482758,1.372281558667403
3,10.206896551724139,1.3669890523398571
4,10.275862068965518,1.3631096043900506
5,10.344827586206897,1.3606432148179906
6,10.413793103448276,1.3595898836236735
7,10.482758620689655,1.3599496108070994
8,10.551724137931034,1.3617223963682683
9,10.620689655172415,1.3649082403071802
10,10.689655172413794,1.3695071426238314
11,10.758620689655173,1.3755191033182292
12,10.827586206896552,1.3829441223903665
13,10.89655172413793,1.3917821998402466
14,10.96551724137931,1.4020333356678734
15,11.03448275862069,1.4136975298732395
16,11.10344827586207,1.426774782456345
17,11.172413793103448,1.441265093417197
18,11.241379310344827,1.4571684627557886
19,11.310344827586206,1.4744848904721266
20,11.379310344827587,1.4932143765662076
21,11.448275862068966,1.513356921038028
22,11.517241379310345,1.5349125238875931
23,11.586206896551724,1.5578811851148995
24,11.655172413793103,1.5822629047199488
25,11.724137931034482,1.608057682702741
26,11.793103448275861,1.6352655190632763
27,11.862068965517242,1.6638864138015546
28,11.931034482758621,1.693920366917574
29,12.0,1.7253673784113346
