,ra,dec,z,r_cmag,r_cMag,g_cmag,g_cMag,i_cmag,i_cMag
0,203.83372267931972,41.0011464409052,0.23174694,16.39161,-23.990647941969456,18.03417,-22.348087941969457,15.942470000000002,-24.439787941969456
1,140.21889165811078,30.46118717712651,0.29424559999999994,17.54791,-23.424545422116367,19.44442,-21.528035422116368,17.06019,-23.91226542211637
2,130.7398189043654,36.36646003953564,0.29645097,17.630670000000002,-23.360423986469264,19.543870000000002,-21.447223986469265,17.07,-23.921093986469266
3,174.05435379455596,40.043272298621616,0.2945722,17.655910000000002,-23.31931375658481,19.13325,-21.84197375658481,17.071839999999998,-23.903383756584812
4,210.2521998905589,2.8638091045806404,0.25708973,18.30862,-22.328792591996883,20.056279999999997,-20.581132591996887,17.76514,-22.872272591996886
5,188.56728230785905,15.252336618148355,0.27977693,18.29567,-22.551216419734942,20.11979,-20.727096419734945,17.686339999999998,-23.160546419734946
6,161.87087891344262,15.233911753538266,0.20857787,16.98852,-23.13685960012399,18.4844,-21.64097960012399,16.50607,-23.61930960012399
7,16.230713631398995,0.060093083024781925,0.27608192,17.34685,-23.46701128628673,18.88166,-21.93220128628673,16.7811,-24.032761286286732
8,192.34208293620438,49.79503970710243,0.28724770000000005,17.35163,-23.560819924353957,18.89379,-22.01865992435396,16.80474,-24.10770992435396
9,201.75420950276046,2.2054218806332626,0.2600985,16.91573,-23.750419702899695,18.62054,-22.045609702899696,16.33341,-24.332739702899694
10,163.5730968002746,14.651168356742813,0.29708390000000007,17.2389,-23.7575195963405,18.84347,-22.152949596340502,16.66685,-24.3295695963405
11,137.7733265845257,61.12982540020803,0.28957656,17.02881,-23.90375733518504,18.74889,-22.183677335185042,16.37506,-24.55750733518504
12,187.26057191239278,47.62237914373845,0.25267258,17.0631,-23.531557752957056,18.81171,-21.782947752957053,16.510360000000002,-24.084297752957053
13,9.57549800341985,9.463182441093377,0.28362858,18.41658,-22.464307007466697,20.24886,-20.632027007466696,17.861629999999998,-23.0192570074667
14,185.6720934931271,2.0997009148511507,0.22911087,17.15859,-23.195667949334986,18.67963,-21.674627949334987,16.55132,-23.802937949334986
15,2.3360866391128643,6.823088301213932,0.24398266,16.9937,-23.51479724941485,18.8165,-21.69199724941485,16.42515,-24.083347249414853
16,142.7069494638422,28.85222610721057,0.29905593,18.15316,-22.85978599683242,20.00626,-21.00668599683242,17.53145,-23.48149599683242
17,184.48662777963824,20.67136752278499,0.21443991,16.43445,-23.758322426840515,17.83089,-22.361882426840513,15.9905,-24.202272426840512
18,155.2866704709054,14.767664392406068,0.24841015,17.08533,-23.467412788308735,18.79849,-21.754252788308733,16.52607,-24.026672788308733
19,334.315983702489,9.052793669803416,0.28500324,18.17986,-22.71305905155784,19.92604,-20.96687905155784,17.57069,-23.32222905155784
20,201.50228458054488,12.378766184237936,0.20602646,16.898120000000002,-23.197379154614165,18.41924,-21.67625915461417,16.45874,-23.636759154614168
21,142.01888052439696,20.52919699032965,0.20824991,15.9721,-24.149457728322524,17.3921,-22.729457728322522,15.43016,-24.69139772832252
22,127.49773905910564,56.329037322728894,0.28901133,17.94389,-22.983808423383554,19.552229999999998,-21.375468423383555,17.38652,-23.541178423383553
23,149.9451707801509,22.40269194706308,0.25362083,16.63476,-23.96913383472659,18.167,-22.43689383472659,16.00977,-24.59412383472659
24,358.91160430600587,1.7652663574060532,0.24655814,16.91646,-23.61786407350315,18.41481,-22.11951407350315,16.36693,-24.16739407350315
25,12.771797942357352,26.287973218104238,0.24628298,17.06411,-23.4674666684883,18.5939,-21.937676668488297,16.44955,-24.0820266684883
26,172.46469947626252,2.937972652374772,0.23823870000000003,17.87942,-22.57055996509221,20.05044,-20.399539965092213,17.3687,-23.08127996509221
27,140.53187200525454,3.76632940215769,0.277344,17.516189999999998,-23.308996960649555,19.12496,-21.70022696064955,16.93236,-23.892826960649554
28,146.73028244800727,15.190685794046914,0.23470041,17.47641,-22.936872561513376,18.99929,-21.41399256151338,16.99916,-23.414122561513377
29,125.11184818605564,7.613922884424269,0.22618544,17.16121,-23.161624408839497,18.700870000000002,-21.621964408839496,16.61638,-23.706454408839498
30,130.13604615299332,5.712864957495668,0.2852671,17.02988,-23.865342439082212,18.69901,-22.19621243908221,16.48214,-24.41308243908221
31,130.62388650354953,8.302270549029991,0.23589924,17.51566,-22.91011302319104,19.13799,-21.287783023191043,16.92577,-23.50000302319104
32,237.1405341856728,36.09323679843965,0.24915533,17.08596,-23.474158125957814,18.74297,-21.817148125957814,16.65298,-23.907138125957815
33,7.225206091609608,7.8350353899571274,0.27922615,17.34534,-23.496649227355995,19.23538,-21.606609227355996,16.78439,-24.057599227355997
34,233.83108140443687,34.35797233346939,0.23222087,16.661929999999998,-23.72533079190852,18.25518,-22.132080791908518,16.05421,-24.333050791908516
35,168.19808626627406,2.502992486041581,0.27223596,17.838910000000002,-22.9401420985601,19.462989999999998,-21.316062098560103,17.16531,-23.6137420985601
36,174.74792496257106,63.589196995914705,0.21073866,16.66694,-23.48348235826739,18.13474,-22.01568235826739,16.1066,-24.04382235826739
37,16.54324207894651,0.8556917872165687,0.26237586,17.729779999999998,-22.95791823266523,19.289839999999998,-21.39785823266523,17.18644,-23.501258232665226
38,16.03031124256421,25.015337935326404,0.2778487,17.74776,-23.081942774001504,19.695629999999998,-21.134072774001506,17.23773,-23.591972774001505
39,209.90849617051083,14.280111635782266,0.20983465,18.36288,-21.777094216283903,19.55434,-20.585634216283903,17.89491,-22.245064216283904
40,183.28134052539215,34.176188198538426,0.22222151,16.71956,-23.560092163307246,18.405479999999997,-21.87417216330725,16.17411,-24.10554216330725
41,155.91948070646754,4.187515165496148,0.29173332,19.25648,-21.69458574693326,20.85012,-20.10094574693326,18.64457,-22.30649574693326
42,146.13846070524056,9.532386600238153,0.21521822,16.75055,-23.45104194606053,18.26669,-21.93490194606053,16.26231,-23.939281946060532
43,130.3095385581728,7.978787806252669,0.22459233,17.54577,-22.75979396607409,19.01535,-21.290213966074088,16.9693,-23.33626396607409
44,209.08511192062903,10.790048056077037,0.2474393,16.98401,-23.559093272603537,18.63385,-21.90925327260354,16.4394,-24.10370327260354
45,197.59249955765824,21.834899312910924,0.28008774,17.4525,-23.397146033875273,19.16376,-21.685886033875274,16.96797,-23.881676033875273
46,358.5084273914105,30.585053477193288,0.2729632,18.15887,-22.626798788548577,20.04034,-20.745328788548576,17.57404,-23.211628788548577
47,180.36479358843613,8.6629047793802,0.25767684,17.52316,-23.11988437939708,19.03881,-21.60423437939708,17.03349,-23.609554379397082
48,205.93495656832886,40.073491087902866,0.22929545,17.053520000000002,-23.30270818298491,18.419620000000002,-21.936608182984912,16.569570000000002,-23.78665818298491
49,186.45177230948585,7.971487666591532,0.25274852,17.10715,-23.48824859358975,18.689970000000002,-21.905428593589747,16.54855,-24.04684859358975
50,231.0812857892367,35.266487996963036,0.25578028,17.033620000000003,-23.591189053684257,18.7417,-21.883109053684258,16.50868,-24.11612905368426
51,170.8009929513495,6.982634969549537,0.24196912,17.93819,-22.549939977709954,19.61026,-20.877869977709953,17.40254,-23.085589977709954
52,137.16339725236028,6.997782490726332,0.22219214,18.10971,-22.169619568026334,19.60331,-20.676019568026334,17.60507,-22.674259568026333
53,200.82895858411166,21.40280365619852,0.24299979,17.24869,-23.249884794567226,18.69719,-21.801384794567227,16.72257,-23.776004794567225
54,34.6274823986822,-0.4296599854623253,0.28174207,17.84911,-23.015177218008066,19.66391,-21.200377218008065,17.207729999999998,-23.656557218008068
55,200.0937621351916,5.164687540092084,0.27711484,17.715329999999998,-23.1078040499093,19.27869,-21.5444440499093,17.094070000000002,-23.729064049909297
56,28.357065410037517,-1.1600140337804994,0.23456444,16.80836,-23.60350219498408,18.35269,-22.059172194984082,16.29215,-24.119712194984082
57,145.7120480260817,3.321358859817384,0.2830875,17.43885,-23.437286350280996,19.01134,-21.864796350280994,16.75281,-24.123326350280994
58,183.5484066177461,25.901078555919717,0.29127595,17.41386,-23.533293448130877,18.97831,-21.968843448130876,16.83363,-24.113523448130877
59,1.5481057745566318,-10.472086898603132,0.22826095,17.49188,-22.853286846671043,18.87143,-21.47373684667104,16.98534,-23.35982684667104
60,155.45918031274638,14.122287318707265,0.24894959,16.9619,-23.596183869532773,18.53404,-22.024043869532772,16.36444,-24.193643869532774
61,148.36916747017085,22.829003118166074,0.20816642,17.52392,-22.596663891952648,18.90705,-21.213533891952647,17.06169,-23.05889389195265
62,127.7457017124954,32.40346824833239,0.24025565,17.884439999999998,-22.586234580517647,19.2281,-21.242574580517644,17.33016,-23.140514580517646
63,337.3645085605786,3.2886925912446783,0.29133147,18.23156,-22.71606866218538,19.614810000000002,-21.332818662185378,17.54811,-23.39951866218538
64,356.5995490597057,0.7494169259045094,0.27343696,17.50292,-23.287050504496374,19.19489,-21.595080504496373,16.89303,-23.896940504496374
65,357.32008372020516,35.45284977471113,0.25408378,16.81082,-23.79757148177827,18.62525,-21.98314148177827,16.215139999999998,-24.39325148177827
66,130.06811576551434,6.847849632983028,0.24145891,17.68706,-22.795884326419813,19.27739,-21.20555432641981,17.17685,-23.30609432641981
67,149.33625669754028,9.88121134102533,0.27596146,17.519460000000002,-23.29331781071332,19.190479999999997,-21.622297810713324,16.8978,-23.91497781071332
68,6.001290654842478,0.5020231985390461,0.2958658,18.026529999999998,-22.959630922752293,19.680529999999997,-21.305630922752293,17.450120000000002,-23.53604092275229
69,147.4538487931481,29.282086299787284,0.21088623,16.93564,-23.216483973274094,18.34613,-21.805993973274095,16.35829,-23.793833973274094
70,226.10029989489018,47.154988163667234,0.27017772,17.84369,-22.91654692859046,19.619239999999998,-21.14099692859046,17.39004,-23.37019692859046
71,198.60402823705346,64.61238778839014,0.22884396,17.823320000000002,-22.52808632262977,19.3009,-21.050506322629772,17.29855,-23.052856322629772
72,33.11244922348698,-5.626558110873388,0.29934615,17.5387,-23.47666968640987,19.59346,-21.42190968640987,16.95674,-24.05862968640987
73,173.09133608405045,33.95993582460287,0.23174608,17.09538,-23.286868855155795,18.57455,-21.807698855155795,16.63135,-23.750898855155793
74,350.91199348144636,9.147492056641012,0.20347512,16.59603,-23.469245510203294,17.89575,-22.169525510203293,16.18649,-23.878785510203294
75,134.7917569883885,29.832688987648982,0.29419976,17.694570000000002,-23.277496645789764,18.97719,-21.994876645789766,17.046879999999998,-23.92518664578977
76,147.56150892527359,28.999117985839643,0.21426676,16.97245,-23.218356336106364,18.43828,-21.752526336106364,16.50404,-23.686766336106363
77,239.84135669613394,50.17550875866745,0.24750161,17.998179999999998,-22.5455429905537,19.49128,-21.052442990553697,17.55164,-22.992082990553698
78,133.52247562431563,54.43028733898257,0.24916279999999996,17.46869,-23.091501956547663,19.08212,-21.478071956547662,16.97429,-23.585901956547662
79,324.18075482430413,10.37455658423493,0.29106557,18.017039999999998,-22.928311979427672,19.7541,-21.19125197942767,17.38171,-23.56364197942767
80,170.43970203294822,46.1173118419434,0.22587721,18.04802,-22.271481751847936,19.81501,-20.504491751847937,17.54695,-22.77255175184794
81,358.26296906916224,3.1707151180254893,0.22312853,17.77711,-22.512485402550617,19.209889999999998,-21.07970540255062,17.1709,-23.118695402550618
82,228.7943909261607,43.664330903076646,0.24144885,17.80955,-22.673291977531434,19.3135,-21.169341977531435,17.269560000000002,-23.213281977531434
83,357.37607859215655,16.431845909525528,0.29376823,18.15326,-22.81514403643231,19.88579,-21.08261403643231,17.575960000000002,-23.39244403643231
84,186.6769366089916,19.840683757529867,0.23661262,16.61375,-23.819427898301537,18.19281,-22.240367898301535,16.07382,-24.359357898301536
85,127.21142247807852,32.462316564620394,0.2641187,18.13121,-22.572863095833224,20.064320000000002,-20.63975309583322,17.57195,-23.132123095833222
86,259.60990135302336,30.080620241056856,0.280085,17.616229999999998,-23.2333917183285,19.508760000000002,-21.340861718328497,16.96235,-23.8872717183285
87,248.5155338353017,25.29301793281838,0.27342683,17.0248,-23.765078596422015,18.80412,-21.985758596422013,16.379939999999998,-24.409938596422016
88,148.46406029942327,22.258914596844107,0.27384493,17.47966,-23.314009357230223,19.14281,-21.65085935723022,16.96593,-23.82773935723022
89,235.51875740870568,48.09104966020962,0.20464063,16.761670000000002,-23.317455570129674,18.224729999999997,-21.85439557012968,16.29939,-23.779735570129677
90,224.86563061518157,3.3460412551857965,0.28424826,16.9887,-23.8976175345106,19.1068,-21.779517534510603,16.35435,-24.531967534510603
91,150.33451667510562,37.51525548616244,0.29041773,18.13968,-22.800117036858403,19.40858,-21.5312170368584,17.589129999999997,-23.350667036858404
92,330.85753917036635,23.90519220539537,0.26576218,16.794539999999998,-23.924883546855796,19.06149,-21.657933546855794,16.21554,-24.503883546855793
93,201.44529652348288,41.649069842683566,0.21743520000000002,17.28395,-22.94260346199545,18.88976,-21.336793461995452,16.779889999999998,-23.446663461995453
94,341.6002695898346,4.383724967322768,0.27105886,17.63106,-23.1372478655744,19.42863,-21.3396778655744,16.96848,-23.7998278655744
95,4.862514368915639,3.1616334425923696,0.27613646,17.61277,-23.201581702376114,19.056720000000002,-21.757631702376113,17.11852,-23.695831702376115
96,182.92985596548542,8.018967244425212,0.26277465,16.48794,-24.203513882338772,18.20299,-22.48846388233877,15.904639999999999,-24.78681388233877
97,219.38157617174355,20.654635624523745,0.24199851,17.43688,-23.051548383551417,18.897660000000002,-21.590768383551413,16.8877,-23.600728383551417
98,182.0441669563292,24.446985977498933,0.26141962,16.95701,-23.721661281604252,18.69089,-21.987781281604253,16.43601,-24.242661281604253
99,224.87376830466,55.9468958872306,0.20121866,17.049770000000002,-22.98848163052056,18.40602,-21.63223163052056,16.52356,-23.514691630520563
100,133.69807028818943,55.389758893961925,0.2562688,17.26967,-23.359848022832733,18.84996,-21.779558022832735,16.79695,-23.832568022832735
101,345.81975604562376,-0.8539566918380128,0.27686334,16.99642,-23.824459209099167,18.80084,-22.020039209099167,16.44125,-24.379629209099168
102,202.89508548173256,10.705827886228633,0.29831517,18.30076,-22.705989924306476,20.09146,-20.915289924306474,17.641820000000003,-23.364929924306473
103,256.44698755930426,33.415177682610896,0.24839018,17.553829999999998,-22.998714857145217,19.22937,-21.323174857145215,16.93437,-23.618174857145213
