,low_medi_devi,low_mean_devi,high_medi_devi,high_mean_devi
k,0.1320900193555321,0.1268291980268721,0.1565652750925448,0.20284566573018736
v,0.1320900193555321,0.1268291980268721,0.1565652750925448,0.20284566573018736
