,ra,dec,z,r_cmag,r_cMag,g_cmag,g_cMag,i_cmag,i_cMag
0,250.08254838650882,46.711531353604364,0.23276423,16.82565,-23.567334979816177,18.38555,-22.00743497981618,16.34055,-24.052434979816177
1,260.61325903724463,32.1325684169872,0.22932445,15.573310000000001,-24.783227600207773,17.3102,-23.046337600207774,15.113620000000001,-25.24291760020777
2,203.16004737928918,50.5599991282856,0.29092997,17.36926,-23.57493021130694,19.00827,-21.93592021130694,16.77115,-24.17304021130694
3,154.39302393136964,59.561061039218615,0.2890586,17.7907,-23.137405944492933,19.47365,-21.454455944492935,17.33536,-23.592745944492933
4,201.84549713948246,3.629195635850618,0.22044352,16.72523,-23.534821731806073,18.3326,-21.927451731806073,16.17698,-24.083071731806072
5,188.60036066307475,9.787638325896507,0.22960329,17.135720000000003,-23.223790859829304,18.62969,-21.729820859829307,16.619310000000002,-23.740200859829304
6,28.174847327626125,1.0070892973837489,0.2275947,15.66886,-24.66915849836763,17.179579999999998,-23.158438498367634,15.06931,-25.26870849836763
7,0.4936709341932328,12.066117621618426,0.21127774,16.34151,-23.815123111035135,17.76588,-22.390753111035135,15.811679999999999,-24.344953111035135
8,142.15268950958531,37.789787653044044,0.24691221,17.30396,-23.233895222471848,18.80036,-21.737495222471846,16.83631,-23.701545222471847
9,173.2174449797248,39.84333417776916,0.29865885,18.87312,-22.13650638745824,20.45506,-20.55456638745824,18.34435,-22.665276387458242
10,179.3132354636237,33.61070693816121,0.21948987,17.57134,-22.678138564282442,18.907970000000002,-21.34150856428244,17.08735,-23.16212856428244
11,166.23145049284113,47.42101288520093,0.21524949999999998,17.30857,-22.893375783364636,18.72525,-21.476695783364637,16.81044,-23.391505783364636
12,139.5892214503993,61.17489721119409,0.28188804,17.02721,-23.838365283497975,18.91647,-21.949105283497975,16.455479999999998,-24.410095283497977
13,155.83671234890056,59.81103219390252,0.20253773,15.84601,-24.20807293246977,17.01323,-23.040852932469768,15.38075,-24.67333293246977
14,203.10213421280997,50.40715638104107,0.27532956,17.89086,-22.91622705573752,19.38586,-21.421227055737518,17.2669,-23.54018705573752
15,180.97275918229118,1.7834583508627997,0.24152568,18.057470000000002,-22.426153534522975,19.496470000000002,-20.987153534522974,17.580470000000002,-22.903153534522975
16,114.33720906162357,35.29491907023847,0.20893908,16.8426,-23.286982528695024,18.21418,-21.915402528695026,16.36519,-23.764392528695026
17,17.079356486064967,27.967261939180283,0.24868143,17.98422,-22.571210108763246,19.43027,-21.125160108763247,17.43246,-23.122970108763248
