,ra,dec,z,rich,lg_Mstar,BCG_age
0,173.50861412745945,39.92402855912186,0.28852007,23.40534400939941,10.78241,1.9025261913036284
1,167.53845620592398,8.920477566233938,0.23755553,22.901929855346683,11.16083,7.564634579052763
2,137.7191787146707,64.06080309810653,0.22052600000000008,36.41783905029297,11.63278,7.54678199774591
3,228.5971472499017,43.64938111019894,0.24358761,25.007116317749023,11.28324,10.031415707534405
4,126.40037814343592,16.586059298604493,0.21148281,37.18058776855469,11.587819999999999,8.228778288843692
5,208.31827471150928,11.503951218964625,0.27679297,23.924013137817386,11.12942,7.170731151821569
6,180.33068950314868,48.51021286312411,0.2738117,28.97340965270996,11.45658,8.466778799352797
7,176.35572419589755,14.688300384303224,0.2911801,24.427427291870114,11.461739999999999,8.298326895433839
8,199.2306313694105,26.25830358030123,0.29060084,36.951759338378906,11.71214,8.498279899459707
9,224.60339006061713,48.710218457790994,0.20326622,30.27008247375488,11.632650000000005,8.414596543293545
10,137.09038472640364,58.899744902381144,0.23744382,34.40418243408204,11.62014,7.565786443534462
11,206.38895368018845,38.87995293830915,0.2742776,27.96658134460448,11.19042,7.878261122446378
12,138.08966316228532,21.49825317262846,0.28246158,32.634605407714844,11.61818,6.6264693535817525
13,167.72090892391918,7.233895478888727,0.24341297,33.83974456787109,11.55158,8.771336340963199
14,230.67807709106103,57.66929043905088,0.2058721,29.11070442199707,11.498030000000002,7.311482228450972
15,141.64780068862262,29.572812740080447,0.29623777,22.947694778442386,11.331010000000001,6.396141916242035
16,222.8729595063723,42.592960729734045,0.20977609,33.58041381835937,11.5354,6.484113378792891
17,224.71898890632855,43.88036690269187,0.22685154,21.849336624145508,11.32884,7.578072880852013
18,149.25789948875212,13.378411876859465,0.24913828,29.339529037475586,11.40649,7.836622538931934
19,20.83182214648156,12.319005748038,0.2215471,28.30219078063965,11.5142,7.731506896550876
20,152.35505019499922,9.830278077253043,0.21396820000000005,27.295362472534176,11.339360000000001,7.224779467537125
21,159.8247130148839,10.811184401717844,0.20079102,23.420598983764645,11.06034,7.170340436094923
