,rich,age
0,18.999999999999996,6.768607845116952
1,20.95793314942232,6.841131837022254
2,23.117629573455527,6.91118346150619
3,25.499880798609972,6.978671223333469
4,28.12762089976346,7.043506344780865
5,31.026147287870355,7.105602959847929
6,34.2233642496483,7.164878303444713
7,37.75005158381363,7.2212528949740316
8,41.640160920042646,7.2746507157391305
9,45.93114257333904,7.324999379622999
10,50.66430608045396,7.372230296503453
11,55.885217889264474,7.416278827887891
12,61.64414002968976,7.457084434273649
13,67.99651398925614,7.494590813763879
14,75.00349445161001,7.528746031494813
15,82.73253803631108,7.559502639458006
16,91.25805270773934,7.586817786330642
17,100.66211410501367,7.610653316958072
18,111.03525568907361,7.630975861165304
19,122.47734031371682,7.647756911608107
20,135.0985216112592,7.660972890409497
21,149.0203044481346,7.670605204363556
22,164.37671465950353,7.676640288525659
23,181.31558932397598,7.679069638046122
24,200.00000000000003,7.677889828142596
