rbins Sigma_result_low Sigma_error_low Sigma_result_high Sigma_error_high Ratio_result Ratio_error
0.11417844210562582 67.77481902554733 4.132383988317413 67.47735946119386 4.280763255520186 0.9956358484322738 0.07066367292761778
0.14655589072772912 61.844230120011375 3.6254753642754016 54.871657251198464 3.1211761386575696 0.8872761454772147 0.05709596963809677
0.1881145749661597 44.93921028101807 2.497541257669016 46.901881341626336 2.5424373666875 1.0436937921811023 0.06149735437482023
0.24145800717380175 36.385565888320386 1.8905389111955349 37.085727776357764 1.8475090956864038 1.0192539942789802 0.04396532356647487
0.3099279746868724 29.11640036142879 1.3368092353493304 29.24347012251366 1.3513225487341587 1.0043723521095513 0.03983643413775066
0.397813891607106 23.971593778798336 1.070251610383635 22.01601941934489 1.0216967379803223 0.9184283714053026 0.03730472105837237
0.5106215162264072 16.795376191034272 0.7909198454192536 16.423924760245214 0.7378591803353445 0.9778915061994533 0.03539499241720544
0.6554178683404668 12.162133410032217 0.5519812666918759 11.903562106383525 0.49729817334167564 0.9787465728044227 0.03139396372008394
0.8412739543656267 8.387633852437382 0.3780858781201161 8.074970808987183 0.3778502753727608 0.9627290641193966 0.034616233275958974
1.0798330355045054 5.379522786026023 0.276617666103932 4.987172710633876 0.24588035152222806 0.9270742348215325 0.035535433591149274
1.3860400390573615 3.938280674273047 0.20126793381776453 3.6750174845312764 0.19799204748029883 0.933162210972809 0.04384823331634881
1.7790778080544443 2.8747678335064837 0.16184574852627004 2.725963249809007 0.15282139558233007 0.9482500073287411 0.046759213041558514
2.2835688421125164 2.3250680050384958 0.14284254347187514 1.842444277985108 0.11958302696521435 0.7924412445138836 0.050729237049747675
2.9311178145545824 2.0280413150360457 0.11616168468299871 1.6080815071668346 0.1046413565672038 0.7929343160230933 0.04728948331417223
3.7622914993231946 1.5735026116265185 0.09553635309488823 1.40043480552987 0.09294566937037559 0.8900247414205681 0.0536677384858303
4.829160143476036 1.284811337862434 0.08660490582117814 1.1554325027013195 0.07564322787773627 0.8993199798651733 0.05461589933774312
6.198559493737449 1.0532676130255045 0.07819031000256062 0.9340484929910733 0.07132653035470991 0.8868285857368096 0.057781417782174126
7.9562778321421215 0.8158449717963174 0.0671716397924024 0.7643332129278994 0.059928790374805224 0.936885076547594 0.06122603114159817
10.212430324528144 0.683595392005318 0.06522548301392869 0.605223369068766 0.058720512947866954 0.8853927838520702 0.08290962989348799
13.108357366809338 0.5685291456318475 0.05514992099717346 0.4978074492962182 0.04978400075567754 0.8756370618767073 0.07502072701668905
16.825479087312534 0.42832013085137766 0.05285052900438708 0.40447533742388475 0.04473754046671303 0.944397332271309 0.09705811949277766
21.596660710090106 0.3646105402693507 0.046918037273812906 0.32900908817102714 0.041149471893009805 0.9024159229377889 0.0956666465392011
27.720800781147233 0.2831878863262935 0.04199413478836554 0.23221818967908678 0.03907134182952519 0.8200693545810981 0.11309710143304216
35.58155616108889 0.18497410599223657 0.041669666188822126 0.16790882471835542 0.04076880159190956 0.9078817081446711 0.17661007706449297
