,ra,dec,z,objID,lg_Mstar_no-h,g-r,r-i,i_cmag,i_cMag,lg_Li
2011,142.4741040489476,5.534408618252879,0.26236865,1.2376584235462167e+18,11.841239615382776,1.562260000000002,0.5770219999999995,16.76781,-23.91982028332583,11.379928113330333
2012,124.79064019302672,22.953558163840636,0.22366858,1.2376610853455793e+18,11.807519615382777,1.3974440000000001,0.5155850000000015,16.1348,-24.16069801895304,11.476279207581216
2013,13.578483411939487,30.14279208441293,0.22983527,1.2376803332559342e+18,11.682049615382777,1.4140450000000016,0.5212269999999997,16.56007,-23.80191191645199,11.332764766580796
2014,227.9376417452427,-1.395974432059733,0.24203908,1.2376556930164984e+18,11.794779615382776,1.5227609999999991,0.541761000000001,16.71944,-23.76940024855816,11.319760099423265
2015,187.74786485012558,46.74340644536058,0.29900813,1.2376613564714847e+18,11.766749615382777,1.5663829999999983,0.588158,16.95576,-24.05678660117415,11.434714640469661
2016,246.14034053662576,40.29233832645291,0.25477174,1.2376593260289065e+18,11.645449615382777,1.5338250000000002,0.5137790000000031,16.92298,-23.692081222709323,11.288832489083731
2017,235.2296607866853,34.50432851546041,0.20262679999999997,1.2376623362531003e+18,11.707089615382776,1.287467999999997,0.49402150000000056,16.02731,-24.027838498964442,11.423135399585778
2018,179.98250167045535,8.120891027898729,0.25848088,1.237658424636277e+18,11.483629615382776,1.4562460000000002,0.5214770000000009,17.13165,-23.51908790335421,11.219635161341685
2019,167.42178868063024,16.14486969700025,0.2275212,1.2376685848953487e+18,11.628459615382777,1.4359730000000006,0.5188179999999996,16.6298,-23.70742871829805,11.294971487319222
2020,152.8086444490984,25.91845844503567,0.2565348,1.2376672540033024e+18,11.747969615382777,1.4701960000000014,0.5048639999999978,16.47664,-24.155438590078603,11.474175436031443
2021,127.38355084104948,4.025583679125529,0.23581247,1.2376584235395978e+18,11.747749615382777,1.357163,0.492073999999997,16.10481,-24.320060944013267,11.540024377605308
2022,167.22001119050356,24.967722144827384,0.25280407,1.2376679127336878e+18,11.689419615382777,1.4366759999999985,0.5136859999999999,16.53313,-24.062810387622427,11.437124155048972
2023,2.6497718977055906,6.516347645695587,0.28160185,1.2376696795784154e+18,11.448739615382776,1.5662630000000028,0.5384559999999965,17.65214,-23.210909313102466,11.096363725240987
2024,231.2816334055352,1.1598729178107006,0.2717147,1.2376517357794102e+18,11.623959615382777,1.5408219999999986,0.5455600000000018,17.18689,-23.587409471560136,11.246963788624056
2025,183.10583374809258,39.71408303803107,0.24915170000000003,1.2376622246037425e+18,11.712059615382776,1.480243999999999,0.5273020000000024,16.689610000000002,-23.87047224770609,11.360188899082438
2026,201.0160443318269,41.551473106768455,0.2024361,1.2376619674353664e+18,11.466099615382776,1.3266430000000007,0.5132119999999993,16.77394,-23.27892657813593,11.123570631254374
2027,243.60022246557224,27.96667281896155,0.28726599999999997,1.237662641732256e+18,11.516669615382776,1.4796070000000014,0.5757899999999978,17.409270000000006,-23.503338589581837,11.213335435832736
2028,239.10875517654026,61.82047510261055,0.27117598,1.2376655837850504e+18,11.516019615382776,1.5328940000000024,0.5615719999999982,17.40052,-23.36885882538097,11.159543530152389
2029,160.25886407734106,19.524649639864908,0.24795630000000002,1.237667781213946e+18,11.501659615382776,1.455181999999997,0.5140279999999997,17.063010000000002,-23.48523086479502,11.206092345918009
2030,151.95823886136057,32.30706660219161,0.29298317,1.23766487834316e+18,11.568329615382776,1.4349380000000025,0.5833899999999979,17.119120000000002,-23.84260812773589,11.349043251094358
2031,7.195791963599389,17.24495930801658,0.20739265,1.2376794560018516e+18,11.579079615382776,1.4053159999999991,0.5412880000000015,16.95218,-23.159361340550266,11.075744536220107
2032,148.47500542191568,47.67293269730782,0.26551747,1.2376578582115123e+18,11.549689615382777,1.504766,0.5274869999999972,17.09689,-23.62025345027465,11.26010138010986
2033,155.4548977692661,16.540383223234894,0.28744382,1.237668288009929e+18,11.595709615382777,1.5448350000000026,0.5911779999999993,17.41249,-23.501659845955988,11.212663938382397
2034,179.9199384720706,33.482374656617736,0.21061695,1.2376652283773583e+18,11.705019615382776,1.394988999999999,0.5034160000000014,16.31602,-23.83299810374412,11.34519924149765
2035,180.35849743133255,10.415624822123831,0.28615695,1.2376584933532634e+18,11.536689615382777,1.5515359999999987,0.5576700000000017,17.42154,-23.48143602900742,11.20457441160297
2036,203.66156073314744,50.72449573395049,0.26821747,1.237661958295323e+18,11.678599615382776,1.5066510000000015,0.5513249999999985,16.83471,-23.90748445905376,11.374993783621505
2037,188.68734797565395,42.063908079049185,0.26791215,1.2376619668944323e+18,11.974079615382777,1.5810410000000026,0.5418470000000006,16.292720000000006,-24.446653324205236,11.590661329682096
2038,200.53382912658503,32.45034636114629,0.25505814,1.2376653314686979e+18,11.775319615382777,1.5107650000000028,0.552934999999998,16.66375,-23.95408296918476,11.393633187673906
2039,130.1929539568057,22.94050157087341,0.23837036,1.2376648353907346e+18,11.573909615382776,1.4754140000000042,0.5083789999999979,16.84331,-23.608025760194234,11.255210304077695
2040,186.58338756889734,19.68695299646123,0.22885509,1.2376682976679037e+18,11.760389615382776,1.4303999999999988,0.5010010000000023,16.27279,-24.078735295171327,11.443494118068532
2041,148.8018129756116,50.568376157955,0.21918453,1.2376577696354796e+18,11.748419615382776,1.3691490000000002,0.5227199999999996,16.18831,-24.0577742805302,11.435109712212082
2042,32.42678701348971,-2.750617694240672,0.21533161,1.2376788799610552e+18,11.694979615382776,1.3899420000000013,0.5291290000000011,16.40266,-23.80021438041677,11.332085752166709
2043,10.35483172487062,22.619798914453543,0.22162749,1.2376795424297454e+18,11.685399615382776,1.3096789999999991,0.5137920000000022,16.18259,-24.090529881361984,11.448211952544796
2044,160.05199591849302,9.486021608488869,0.2495929,1.2376719317442235e+18,11.601719615382777,1.4733599999999996,0.5309430000000006,16.881420000000002,-23.68301946399,11.285207785596
2045,234.5580135712933,53.377306042275016,0.29809925,1.2376551287598615e+18,11.700969615382778,1.5835790000000003,0.5500809999999987,17.03976,-23.965181200708276,11.39807248028331
2046,356.54456795755567,4.580130122122915,0.23022935,1.2376786614224817e+18,11.712849615382776,1.4338090000000001,0.5190829999999984,16.53765,-23.82852439820488,11.343409759281954
