,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.243423,0.30930346,7.9915433,2.2766232
1,1.2686251981032597,20.285572,0.33823285,7.687258,2.3947651
2,1.609409893262535,20.32605,0.34896198,7.405946,2.3803144
3,2.041737944669529,20.41053,0.34229118,6.8515306,2.160026
4,2.5902002045313237,20.583984,0.32538858,5.8399134,1.7501868
5,3.285993247600654,20.865171,0.31218496,4.5074534,1.2960416
6,4.168693834703354,21.201239,0.3156039,3.3075368,0.9614413
7,5.288510041882381,21.56208,0.33556405,2.3722913,0.7331944
8,6.709137099554112,21.977415,0.36243162,1.6182063,0.54017645
9,8.511380382023763,22.417498,0.39220792,1.0789493,0.38975626
10,10.797751623277094,22.885672,0.42802384,0.70102143,0.27635986
11,13.698299792149703,23.364359,0.4702818,0.45108294,0.19538456
12,17.378008287493753,23.864016,0.52101,0.28470397,0.13662031
13,22.04617920636185,24.39459,0.5822044,0.174648,0.09365151
14,27.968338463090777,24.989313,0.66914773,0.1009892,0.062240437
15,35.48133892335755,25.678528,0.7969668,0.053529005,0.039292086
16,45.012520620613365,26.493286,0.9650952,0.025274651,0.022466272
17,57.104017889452685,27.503757,1.3207353,0.009965442,0.012122384
18,72.44359600749898,29.22768,3.7762082,0.0020367028,0.007083686
19,91.90377133632595,,-3.0221746,-0.0016634435,0.004630238
20,116.59144011798311,,-1.2713267,-0.003558537,0.0041668164
21,147.91083881682073,,-0.93197274,-0.004543963,0.0039004409
22,187.64341719560858,,-1.1872035,-0.003639997,0.0039801723
23,238.04916731255136,,-3.7800486,-0.0009069042,0.0031574357
24,301.9951720402016,,-16.688389,-0.00033870805,0.0052061374
