,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.242588,0.30993888,7.9976873,2.2830539
1,1.2686251981032597,20.284681,0.33889702,7.6935625,2.4014354
2,1.609409893262535,20.325148,0.34963876,7.412099,2.386912
3,2.041737944669529,20.409643,0.3430519,6.857136,2.1665978
4,2.5902002045313237,20.583109,0.3264208,5.8446226,1.7571546
5,3.285993247600654,20.864279,0.31366733,4.5111623,1.303267
6,4.168693834703354,21.200356,0.3173328,3.3102272,0.9674944
7,5.288510041882381,21.561218,0.3371738,2.3741753,0.7372967
8,6.709137099554112,21.976664,0.36348745,1.6193258,0.54212487
9,8.511380382023763,22.41706,0.39247248,1.0793839,0.39017624
10,10.797751623277094,22.885561,0.42737052,0.70109284,0.27596614
11,13.698299792149703,23.364141,0.4689459,0.45117307,0.19486848
12,17.378008287493753,23.863207,0.51904297,0.2849162,0.13620596
13,22.04617920636185,24.393332,0.5792212,0.17485061,0.093279734
14,27.968338463090777,24.988047,0.66603506,0.10110706,0.062023215
15,35.48133892335755,25.677063,0.79494566,0.053601276,0.039245352
16,45.012520620613365,26.492327,0.9637287,0.025297008,0.022454308
17,57.104017889452685,27.500294,1.3167412,0.009997288,0.012124346
18,72.44359600749898,29.2241,3.8034482,0.0020434307,0.007158352
19,91.90377133632595,,-3.1110978,-0.001650994,0.004730803
20,116.59144011798311,,-1.3045793,-0.0035483867,0.0042636064
21,147.91083881682073,,-0.9585063,-0.0044866507,0.003960891
22,187.64341719560858,,-1.2188002,-0.003576639,0.004014979
23,238.04916731255136,,-4.193232,-0.00080294703,0.0031010692
24,301.9951720402016,,-16.613497,-0.0003200255,0.0048969006
