,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.242363,0.30944508,7.9993553,2.279892
1,1.2686251981032597,20.284515,0.33826008,7.6947446,2.3972905
2,1.609409893262535,20.325024,0.3488802,7.412934,2.382002
3,2.041737944669529,20.409546,0.3422452,6.8577538,2.1616976
4,2.5902002045313237,20.583008,0.32576603,5.8451657,1.753793
5,3.285993247600654,20.864176,0.313385,4.511587,1.3022168
6,4.168693834703354,21.200346,0.31720474,3.3102553,0.9671122
7,5.288510041882381,21.56119,0.33747646,2.374237,0.7379777
8,6.709137099554112,21.976624,0.36412156,1.6193855,0.54309064
9,8.511380382023763,22.417072,0.39318097,1.0793718,0.3908762
10,10.797751623277094,22.885815,0.4280695,0.7009295,0.2763531
11,13.698299792149703,23.364769,0.4699295,0.4509125,0.19516441
12,17.378008287493753,23.864178,0.520799,0.2846617,0.1365447
13,22.04617920636185,24.394306,0.582251,0.17469397,0.09368366
14,27.968338463090777,24.988047,0.67005205,0.10110708,0.0623973
15,35.48133892335755,25.675472,0.79870594,0.053679813,0.03948877
16,45.012520620613365,26.489544,0.9651656,0.025361914,0.022545483
17,57.104017889452685,27.496725,1.3124033,0.010030208,0.012124197
18,72.44359600749898,29.218126,3.7803264,0.0020547055,0.0071540927
19,91.90377133632595,,-3.107454,-0.0016447061,0.0047072656
20,116.59144011798311,,-1.2872567,-0.0035726544,0.004235765
21,147.91083881682073,,-0.94048595,-0.0045672916,0.0039562774
22,187.64341719560858,,-1.2280102,-0.0035918292,0.0040625
23,238.04916731255136,,-5.0018554,-0.0006544143,0.0030148076
24,301.9951720402016,,-16.613497,-0.0003200255,0.0048969006
