,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,19.693008,0.34628135,13.26772,4.2315655
1,1.2686251981032597,19.700407,0.35407278,13.177619,4.2973943
2,1.609409893262535,19.723743,0.34887493,12.897414,4.1442704
3,2.041737944669529,19.807274,0.33407763,11.942365,3.6746285
4,2.5902002045313237,19.99553,0.3186156,10.041271,2.9466693
5,3.285993247600654,20.304237,0.31418777,7.556228,2.1866033
6,4.168693834703354,20.662775,0.32198036,5.4311247,1.6106265
7,5.288510041882381,21.025358,0.3416864,3.8891656,1.2239392
8,6.709137099554112,21.440094,0.36802226,2.6543753,0.8997298
9,8.511380382023763,21.881868,0.3994848,1.7670664,0.6501728
10,10.797751623277094,22.34841,0.43557036,1.1498376,0.46128628
11,13.698299792149703,22.821156,0.47509542,0.7439394,0.32553232
12,17.378008287493753,23.322958,0.5227614,0.46861583,0.22562966
13,22.04617920636185,23.867603,0.58497643,0.28376487,0.15288776
14,27.968338463090777,24.468588,0.6751162,0.16314171,0.10144234
15,35.48133892335755,25.151377,0.80349505,0.08698602,0.06437369
16,45.012520620613365,25.964298,0.97991765,0.04114157,0.03713181
17,57.104017889452685,26.995398,1.4041057,0.015916266,0.020583378
18,72.44359600749898,28.867073,4.8905134,0.0028390386,0.012787964
19,91.90377133632595,,-2.617237,-0.0035866408,0.008645829
20,116.59144011798311,,-1.3538603,-0.0066892775,0.008341203
21,147.91083881682073,,-0.93588555,-0.008472542,0.0073031825
22,187.64341719560858,,-1.3548968,-0.0069281263,0.008645651
23,238.04916731255136,,-4.0342054,-0.00231031,0.008584281
24,301.9951720402016,,-3.8294582,-0.006214817,0.021920042
