,R,aveg_sb,aveg_sb_err
0,1.0,8.000862186666666,0.047888127372276316
1,1.268625198103259,7.69652243,0.04946976046548031
2,1.6094098932625351,7.414960109999999,0.04774469066571708
3,2.0417379446695283,6.8598740833333345,0.041248828659518795
4,2.5902002045313237,5.847096456666664,0.03073153334503161
5,3.2859932476006537,4.513170266666666,0.020344090512834354
6,4.168693834703351,3.311728243333333,0.013996194991511536
7,5.288510041882378,2.3755001933333335,0.010625753211539574
8,6.709137099554112,1.6204310066666667,0.007967925042667278
9,8.511380382023761,1.0802098366666664,0.005765414471442925
10,10.7977516232771,0.7015500050000001,0.003981294339704123
11,13.698299792149713,0.45128173066666666,0.0026110168281727538
12,17.378008287493746,0.2848299206666666,0.0017126452217093402
13,22.046179206361856,0.174724147,0.001337346740007773
14,27.968338463090767,0.10103005320000001,0.0010716171649753554
15,35.48133892335753,0.05356525703333334,0.0007225045131475362
16,45.012520620613344,0.02528648463333333,0.0004144780573859538
17,57.10401788945272,0.009978044949999999,0.00018680102316096116
18,72.44359600749902,0.0020265570699999997,0.00011440850040463566
19,91.90377133632593,-0.0016597595399999998,9.845122192677967e-05
20,116.59144011798308,-0.003557333,0.00013272145106236056
21,147.91083881682064,-0.00451277477,0.00017551324873984363
22,187.64341719560858,-0.003596428706666666,0.00032705079503324134
23,238.04916731255156,-0.0008274715373333335,0.00043126978489383436
24,301.9951720402015,-0.00032056506299999994,0.0012392755849948824
