,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.240917,0.30966246,8.010003,2.2845304
1,1.2686251981032597,20.282976,0.3386295,7.70566,2.403313
2,1.609409893262535,20.323448,0.34947458,7.4237022,2.3895264
3,2.041737944669529,20.407999,0.34313798,6.8675323,2.170427
4,2.5902002045313237,20.581583,0.3269618,5.8528457,1.7625431
5,3.285993247600654,20.862978,0.31483018,4.5165734,1.3096677
6,4.168693834703354,21.19934,0.3188916,3.3133202,0.97315544
7,5.288510041882381,21.560192,0.33906132,2.3764179,0.74212444
8,6.709137099554112,21.97564,0.3657664,1.6208566,0.5460395
9,8.511380382023763,22.416096,0.39505455,1.0803423,0.39309192
10,10.797751623277094,22.884789,0.43026665,0.70159227,0.27803415
11,13.698299792149703,23.363773,0.47205204,0.4513265,0.19622593
12,17.378008287493753,23.863096,0.52258843,0.28494543,0.13715044
13,22.04617920636185,24.392887,0.58372897,0.17492221,0.09404417
14,27.968338463090777,24.987043,0.6712442,0.10120046,0.06256605
15,35.48133892335755,25.67592,0.80069894,0.05365767,0.039570976
16,45.012520620613365,26.490902,0.968694,0.025330247,0.02259965
17,57.104017889452685,27.497887,1.3163946,0.01001948,0.012148062
18,72.44359600749898,29.219017,3.789431,0.002053021,0.007165444
19,91.90377133632595,,-3.1147048,-0.001643154,0.004713797
20,116.59144011798311,,-1.3075608,-0.0035492145,0.0042743473
21,147.91083881682073,,-0.9506071,-0.004503987,0.0039434275
22,187.64341719560858,,-1.1859734,-0.0036523184,0.0039895074
23,238.04916731255136,,-3.81245,-0.00088426186,0.0031049936
24,301.9951720402016,,-13.00572,-0.00041997497,0.0050307587
