,R,aveg_sb,aveg_sb_err
0,1.0,13.249650116666665,0.07370870237008322
1,1.268625198103259,13.160237016666668,0.07520384015279274
2,1.6094098932625351,12.881912550000003,0.07365003407632066
3,2.0417379446695283,11.930294933333334,0.06767520475318813
4,2.5902002045313237,10.033490599999997,0.05764734527277227
5,3.2859932476006537,7.551793293333334,0.04494832657211681
6,4.168693834703351,5.428156109999999,0.031968519766529695
7,5.288510041882378,3.8871427066666664,0.023019322045140428
8,6.709137099554112,2.6532220966666666,0.01593490828613471
9,8.511380382023761,1.7665147666666665,0.01103848181141944
10,10.7977516232771,1.1493388033333334,0.007506881871467952
11,13.698299792149713,0.7433032209999999,0.004971120431822595
12,17.378008287493746,0.4681147480000002,0.00318406851741755
13,22.046179206361856,0.28351072233333335,0.0023060186666225527
14,27.968338463090767,0.163038294,0.0017433858311897209
15,35.48133892335753,0.08694795726666668,0.0011312024550022828
16,45.012520620613344,0.04113475720000001,0.0006438803768710154
17,57.10401788945272,0.015912257599999997,0.00034881623859171854
18,72.44359600749902,0.00288029509,0.0002272626041158518
19,91.90377133632593,-0.0035360908233333333,0.00017352579426715305
20,116.59144011798308,-0.006718877466666665,0.00026229060639405746
21,147.91083881682064,-0.00845949725,0.00034395780482922186
22,187.64341719560858,-0.006671809540000001,0.000664689421519436
23,238.04916731255156,-0.0026077734466666666,0.0008580391653763922
24,301.9951720402015,-0.006300253550000001,0.0030810830853570366
