,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,21.553171,0.3478452,2.3918366,0.76629007
1,1.2686251981032597,21.747536,0.3622543,1.9997971,0.66722935
2,1.609409893262535,21.908142,0.38200432,1.7248188,0.6068585
3,2.041737944669529,22.050375,0.38888165,1.5130377,0.5419296
4,2.5902002045313237,22.200731,0.37195134,1.3173687,0.45130396
5,3.285993247600654,22.391554,0.34172174,1.1050409,0.34779766
6,4.168693834703354,22.65928,0.32790485,0.8635499,0.26080203
7,5.288510041882381,23.029442,0.34101272,0.61407787,0.19287223
8,6.709137099554112,23.449463,0.36672652,0.4170755,0.1408746
9,8.511380382023763,23.877144,0.39762163,0.28128254,0.10301215
10,10.797751623277094,24.33743,0.43668595,0.18408921,0.074041165
11,13.698299792149703,24.823006,0.48458865,0.11770576,0.052534748
12,17.378008287493753,25.33335,0.53438234,0.07356309,0.0362066
13,22.04617920636185,25.872032,0.5969086,0.0447906,0.02462467
14,27.968338463090777,26.489475,0.7277422,0.025363516,0.01700054
15,35.48133892335755,27.263391,1.0378115,0.012434931,0.011886049
16,45.012520620613365,28.393583,1.8116962,0.0043910313,0.007327024
17,57.104017889452685,31.970974,31.809921,0.00016278363,0.004769238
18,72.44359600749898,,-2.4989858,-0.0015713358,0.0036166664
19,91.90377133632595,,-1.5324848,-0.0020720626,0.0029246556
20,116.59144011798311,,-1.368207,-0.002199714,0.0027720032
21,147.91083881682073,,-1.1630492,-0.002030146,0.0021747085
22,187.64341719560858,,-3.3522568,-0.0015711357,0.004850948
23,238.04916731255136,31.802517,33.672874,0.0001901047,0.0058958814
24,301.9951720402016,,-4.0735264,-0.0017177389,0.00644471
