,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.240852,0.30980733,8.010484,2.2857363
1,1.2686251981032597,20.28287,0.33871585,7.706415,2.4041612
2,1.609409893262535,20.323338,0.3493906,7.4244604,2.389196
3,2.041737944669529,20.407913,0.3427646,6.868064,2.168233
4,2.5902002045313237,20.581514,0.32620904,5.853213,1.7585957
5,3.285993247600654,20.862804,0.3137444,4.5172935,1.3053591
6,4.168693834703354,21.198864,0.31775346,3.3147774,0.97010857
7,5.288510041882381,21.559568,0.33807874,2.3777852,0.74039954
8,6.709137099554112,21.97492,0.36484954,1.6219286,0.545031
9,8.511380382023763,22.415476,0.39407882,1.0809598,0.3923452
10,10.797751623277094,22.884321,0.42928058,0.70189357,0.2775161
11,13.698299792149703,23.363167,0.47109592,0.45157826,0.19593772
12,17.378008287493753,23.862558,0.5211926,0.28508648,0.13685182
13,22.04617920636185,24.393559,0.5815934,0.17481425,0.09364228
14,27.968338463090777,24.988697,0.66848654,0.10104643,0.06221417
15,35.48133892335755,25.67709,0.79717624,0.053599954,0.039354507
16,45.012520620613365,26.492697,0.9664767,0.025288401,0.022510672
17,57.104017889452685,27.50366,1.3209653,0.009966348,0.012125598
18,72.44359600749898,29.232061,3.830805,0.002028502,0.0071571674
19,91.90377133632595,,-3.0989609,-0.0016457012,0.00469724
20,116.59144011798311,,-1.2991753,-0.0035543388,0.004253067
21,147.91083881682073,,-0.9434439,-0.0045372066,0.003942578
22,187.64341719560858,,-1.1811339,-0.003679251,0.004002527
23,238.04916731255136,,-3.8709507,-0.00087466364,0.0031184184
24,301.9951720402016,,-23.791044,-0.00022972695,0.00503386
