,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.244823,0.30946794,7.981243,2.2748978
1,1.2686251981032597,20.287169,0.33849663,7.6759586,2.39311
2,1.609409893262535,20.327656,0.34933197,7.394984,2.3793113
3,2.041737944669529,20.411919,0.34288767,6.842784,2.161028
4,2.5902002045313237,20.584864,0.32655436,5.8351846,1.7550349
5,3.285993247600654,20.865307,0.3142627,4.506897,1.3045062
6,4.168693834703354,21.200884,0.31815374,3.3086193,0.96952605
7,5.288510041882381,21.56122,0.33842292,2.3741698,0.7400264
8,6.709137099554112,21.976095,0.36502355,1.6201746,0.5447013
9,8.511380382023763,22.415934,0.3940982,1.0805045,0.39219922
10,10.797751623277094,22.884237,0.42939728,0.70194876,0.27761337
11,13.698299792149703,23.3634,0.4715418,0.45148176,0.19608127
12,17.378008287493753,23.863396,0.52197963,0.284867,0.13695295
13,22.04617920636185,24.393951,0.5828653,0.17475097,0.0938131
14,27.968338463090777,24.988756,0.67026705,0.10104102,0.062376533
15,35.48133892335755,25.678436,0.79955083,0.053533472,0.039422773
16,45.012520620613365,26.494839,0.9702624,0.02523853,0.02255428
17,57.104017889452685,27.504217,1.3260655,0.009961231,0.012166163
18,72.44359600749898,29.24091,3.86718,0.002012038,0.007166486
19,91.90377133632595,,-3.0854747,-0.0016686326,0.004741966
20,116.59144011798311,,-1.3052791,-0.0035552478,0.004274142
21,147.91083881682073,,-0.9652023,-0.0044732084,0.0039766114
22,187.64341719560858,,-1.2274213,-0.003549257,0.0040124236
23,238.04916731255136,,-4.0886087,-0.0008252439,0.0031076605
24,301.9951720402016,,-16.613497,-0.0003200255,0.0048969006
