,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,19.693684,0.34408456,13.259473,4.2021074
1,1.2686251981032597,19.700933,0.35184065,13.171239,4.268235
2,1.609409893262535,19.723986,0.34681922,12.8945465,4.1189346
3,2.041737944669529,19.807083,0.33240277,11.944455,3.656846
4,2.5902002045313237,19.994802,0.3174005,10.047981,2.9373932
5,3.285993247600654,20.30305,0.3132526,7.5645003,2.1824818
6,4.168693834703354,20.661476,0.32114053,5.4376287,1.6083492
7,5.288510041882381,21.023973,0.3412401,3.8941283,1.2239002
8,6.709137099554112,21.43857,0.36783436,2.658105,0.900534
9,8.511380382023763,21.880201,0.39905727,1.7697805,0.6504746
10,10.797751623277094,22.346981,0.43480024,1.1513507,0.4610766
11,13.698299792149703,22.82041,0.47419554,0.74445134,0.3251393
12,17.378008287493753,23.322218,0.52188283,0.46893543,0.22540407
13,22.04617920636185,23.865814,0.584196,0.28423265,0.15293546
14,27.968338463090777,24.465866,0.67490757,0.16355121,0.101665534
15,35.48133892335755,25.148407,0.80429846,0.08722427,0.06461454
16,45.012520620613365,25.959291,0.9794418,0.041331697,0.037285294
17,57.104017889452685,26.989784,1.4108819,0.01599876,0.020789914
18,72.44359600749898,28.843481,4.836135,0.0029014007,0.012923549
19,91.90377133632595,,-2.6920638,-0.0035473176,0.008795512
20,116.59144011798311,,-1.3710451,-0.0067369803,0.008507319
21,147.91083881682073,,-0.9584138,-0.008438056,0.0074485396
22,187.64341719560858,,-1.5134243,-0.0065931897,0.009190348
23,238.04916731255136,,-3.8567688,-0.0026070308,0.009260735
24,301.9951720402016,,-3.6552927,-0.0063081854,0.021237446
