,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,21.55236,0.34726587,2.3936234,0.7655853
1,1.2686251981032597,21.74661,0.3610511,2.0015,0.6655795
2,1.609409893262535,21.90707,0.3803969,1.7265211,0.6049014
3,2.041737944669529,22.049208,0.3872885,1.5146658,0.54029024
4,2.5902002045313237,22.199621,0.37065637,1.3187168,0.45019293
5,3.285993247600654,22.390749,0.34050655,1.1058612,0.34681812
6,4.168693834703354,22.659029,0.32631996,0.8637512,0.25960198
7,5.288510041882381,23.029673,0.3392763,0.61394674,0.19184916
8,6.709137099554112,23.449844,0.36493957,0.41692924,0.140139
9,8.511380382023763,23.877317,0.39541507,0.28123745,0.10242408
10,10.797751623277094,24.337154,0.43440944,0.18413581,0.07367382
11,13.698299792149703,24.821814,0.48409486,0.11783504,0.052538853
12,17.378008287493753,25.331448,0.5338047,0.073692106,0.0362309
13,22.04617920636185,25.870502,0.5939914,0.044853795,0.024538897
14,27.968338463090777,26.488995,0.72220194,0.025374748,0.016878586
15,35.48133892335755,27.264309,1.0280852,0.012424415,0.011764697
16,45.012520620613365,28.39049,1.787922,0.0044035628,0.0072515104
17,57.104017889452685,31.818619,27.623571,0.0001873062,0.004765491
18,72.44359600749898,,-2.5210793,-0.0015588088,0.0036195538
19,91.90377133632595,,-1.5347133,-0.0020777425,0.0029369371
20,116.59144011798311,,-1.3802586,-0.0021978545,0.0027940557
21,147.91083881682073,,-1.1754557,-0.0020069396,0.0021727826
22,187.64341719560858,,-3.4498794,-0.0015204698,0.0048312265
23,238.04916731255136,31.755438,31.46542,0.00019852944,0.0057535265
24,301.9951720402016,,-4.237493,-0.0016379016,0.006392526
