,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,21.552885,0.34854308,2.3924673,0.76803
1,1.2686251981032597,21.747133,0.36292398,2.0005386,0.6687107
2,1.609409893262535,21.90761,0.38260734,1.7256619,0.6081136
3,2.041737944669529,22.049725,0.3892993,1.5139455,0.54283714
4,2.5902002045313237,22.2,0.3719964,1.3182557,0.45166254
5,3.285993247600654,22.390835,0.34126475,1.1057734,0.34756282
6,4.168693834703354,22.65871,0.3271305,0.8640035,0.26032278
7,5.288510041882381,23.029009,0.34030965,0.61432207,0.19255112
8,6.709137099554112,23.44883,0.3664365,0.41731915,0.14084543
9,8.511380382023763,23.875916,0.39779156,0.2816006,0.103172705
10,10.797751623277094,24.335604,0.43767133,0.18439886,0.07433306
11,13.698299792149703,24.82076,0.48753357,0.11794936,0.052963395
12,17.378008287493753,25.330818,0.5375676,0.07373486,0.036507465
13,22.04617920636185,25.868788,0.598642,0.044924647,0.024770087
14,27.968338463090777,26.48537,0.730502,0.025459616,0.017129667
15,35.48133892335755,27.260357,1.0414948,0.012469723,0.01196161
16,45.012520620613365,28.390682,1.8060191,0.004402779,0.007323605
17,57.104017889452685,31.887337,29.360142,0.00017581882,0.004754438
18,72.44359600749898,,-2.5053365,-0.0015642277,0.0036094561
19,91.90377133632595,,-1.5314087,-0.002073092,0.0029240537
20,116.59144011798311,,-1.3755275,-0.002181118,0.0027632748
21,147.91083881682073,,-1.1525116,-0.0020349508,0.0021601052
22,187.64341719560858,,-3.401589,-0.0015032672,0.004709705
23,238.04916731255136,32.35341,54.882854,0.00011445525,0.005785596
24,301.9951720402016,,-4.1247535,-0.0016987987,0.006453802
