,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.240368,0.30799702,8.014061,2.2733948
1,1.2686251981032597,20.282482,0.33691958,7.709163,2.3922646
2,1.609409893262535,20.322939,0.34773478,7.4271865,2.3787463
3,2.041737944669529,20.407413,0.34133327,6.871238,2.1601768
4,2.5902002045313237,20.580898,0.32500336,5.856532,1.7530893
5,3.285993247600654,20.862263,0.3127173,4.519543,1.3017335
6,4.168693834703354,21.198725,0.3170889,3.315203,0.96820396
7,5.288510041882381,21.559551,0.33777356,2.3778238,0.7397433
8,6.709137099554112,21.974987,0.36489737,1.6218281,0.5450687
9,8.511380382023763,22.415545,0.39406142,1.080891,0.3923029
10,10.797751623277094,22.884483,0.42905185,0.70178914,0.27732697
11,13.698299792149703,23.363743,0.4709919,0.4513392,0.19579075
12,17.378008287493753,23.863373,0.5218225,0.28487265,0.13691445
13,22.04617920636185,24.393572,0.5832981,0.174812,0.09391555
14,27.968338463090777,24.987753,0.6708188,0.10113442,0.062485594
15,35.48133892335755,25.675713,0.7995011,0.053667933,0.039519336
16,45.012520620613365,26.489922,0.9678377,0.025353126,0.022600068
17,57.104017889452685,27.499685,1.3206573,0.0100029,0.01216723
18,72.44359600749898,29.233734,3.842673,0.002025378,0.0071682837
19,91.90377133632595,,-3.1258748,-0.0016452338,0.0047366894
20,116.59144011798311,,-1.308486,-0.0035487507,0.004276813
21,147.91083881682073,,-0.9612928,-0.0044840924,0.003970141
22,187.64341719560858,,-1.2264289,-0.003563867,0.0040256823
23,238.04916731255136,,-4.0483828,-0.000827396,0.00308511
24,301.9951720402016,,-16.613497,-0.0003200255,0.0048969006
