,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,20.242212,0.3093401,8.000457,2.279432
1,1.2686251981032597,20.28428,0.3382804,7.6964006,2.3979504
2,1.609409893262535,20.324614,0.34907818,7.4157414,2.3842566
3,2.041737944669529,20.40887,0.34259638,6.8620214,2.1652625
4,2.5902002045313237,20.582014,0.32609126,5.850515,1.7571504
5,3.285993247600654,20.86288,0.313514,4.5169783,1.3043094
6,4.168693834703354,21.198822,0.31740233,3.3149064,0.96907425
7,5.288510041882381,21.55945,0.33756176,2.3780434,0.7393477
8,6.709137099554112,21.974688,0.36411256,1.6222775,0.5440471
9,8.511380382023763,22.414976,0.39305836,1.0814577,0.39150947
10,10.797751623277094,22.883472,0.42823717,0.70244306,0.2770583
11,13.698299792149703,23.362354,0.47009796,0.4519165,0.1956691
12,17.378008287493753,23.862267,0.5199731,0.28516337,0.13656843
13,22.04617920636185,24.393433,0.5804197,0.17483456,0.093464166
14,27.968338463090777,24.987877,0.6673864,0.10112289,0.062158786
15,35.48133892335755,25.675135,0.7951487,0.053696506,0.039325118
16,45.012520620613365,26.488153,0.96348494,0.025394443,0.022535091
17,57.104017889452685,27.49967,1.3225652,0.010003033,0.01218497
18,72.44359600749898,29.23455,3.8359003,0.0020238578,0.0071502794
19,91.90377133632595,,-3.0533988,-0.0016699875,0.0046964795
20,116.59144011798311,,-1.2902467,-0.0035678293,0.00423987
21,147.91083881682073,,-0.94541854,-0.004529856,0.0039444296
22,187.64341719560858,,-1.1951665,-0.0036419325,0.004008999
23,238.04916731255136,,-3.95716,-0.000874581,0.003187567
24,301.9951720402016,,-19.343678,-0.00028318766,0.0050453236
