,ra,dec,z,bcg_x,bcg_y
0,229.51525912261292,36.475757453565,0.2502024,209.76007230277332,1033.8873456859828
1,191.76283648729492,18.55323490185862,0.23361243,1143.9086135802147,306.566483450301
2,189.8443103719072,44.16823972936096,0.26303148,1067.8232163373852,966.5934440228388
3,200.42046325640098,49.37998358384035,0.28463575,1862.7698375149207,1183.9969505871748
4,200.28973628641273,64.55019837576077,0.23311625,1223.1047513253136,204.11291928335456
5,218.301512536933,12.465770857350535,0.2370248,567.1670447377408,774.46980545856
6,204.8961624968204,38.39201006158182,0.20320610000000008,1105.9677392756937,826.027951837196
7,202.89760881918446,12.842261343392973,0.24580981,876.3511435270536,809.7745686675119
8,202.5116215424761,65.08312441803139,0.21977408,495.9657772912069,317.18998591529333
9,191.0101955244196,28.937258134979963,0.22811069,1225.6831323011186,833.0016606027832
10,191.7147933888416,23.06162511624048,0.24267434,722.6123784496665,1064.5677379829112
11,229.11451885590745,36.17813493358328,0.20582724,224.40696677569062,1178.8170900492987
12,202.53415027396642,26.068117064490114,0.20128287,917.7007116140096,101.78464283106257
13,340.88853593541023,13.147806084930036,0.23546515,418.6437295049623,812.2108132096619
14,209.36072868591214,57.15437696499957,0.21419734,1702.0038670924037,647.3895072124054
15,224.72710375594158,16.7214597059974,0.22119102,1258.5561303100633,871.3460011001961
16,211.56226204485,42.39359799298368,0.21326275,1273.0325552200788,446.30383169795783
17,201.74669329598203,27.630860959253482,0.25513476,763.2495266814731,1130.071801398242
18,235.6588986923744,24.51645462066892,0.22093235,89.23616656996978,1373.081370641646
19,234.1064258369736,39.00240332815655,0.20004858,829.1161033475581,423.58284935924456
20,220.46923892492526,26.550328802053727,0.22817276,166.88612436654068,953.0967598293796
21,220.26010521494297,43.61500032209385,0.28652075,850.0832734016867,412.1465891776755
22,199.315389130636,36.34763767270361,0.24583863,1329.7995846891572,962.0019261309998
23,216.57663148579758,21.00500569550449,0.27579814,1818.0673126952906,601.9859386171531
24,209.48564563701626,55.311023126074964,0.24887262,750.6049080714954,475.2816288222458
25,201.48709500313163,48.699152586041315,0.2791866,966.0707847335956,535.2613313516816
