#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
201.552865110733,48.6540056446327,15.24263,11.71423,10.78377,10.48198,10.7717,6,1.433007,1.250829,1.13459,1.12086,1.013192,1579117540938248,DEBLEND_DEGENERATE TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED SUBTRACTED SATURATED INTERP COSMIC_RAY MANYPETRO BLENDED 
201.552865101926,48.6540056408494,15.19742,11.71206,10.78725,10.49137,10.76541,6,1.433007,1.250829,1.13459,1.12086,1.013192,483856286617616,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
201.679959723471,48.7512421297292,15.64281,12.18233,11.05597,10.66129,13.2659,6,1.45831,1.275352,1.148327,1.14423,0.9758751,483854139133968,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 DEBLENDED_AS_PSF SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
201.679959723602,48.7512421271109,15.55646,12.16611,11.05697,10.66486,13.05433,6,1.45831,1.275352,1.148327,1.14423,0.9758751,453217634095880,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED SUBTRACTED SATURATED INTERP COSMIC_RAY MANYPETRO NOPETRO BLENDED 
201.647382403625,48.3994234942931,14.5055,11.79815,11.44018,11.30905,12.69361,6,1.749966,1.59762,1.57582,1.531909,1.369088,448818512793608,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
201.647382403626,48.3994234942921,14.49935,11.79793,11.44021,11.30968,12.68802,6,1.749966,1.59762,1.57582,1.531909,1.369088,483856285569040,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
201.647367855882,48.3994160706051,14.60754,11.80037,11.44249,11.29987,12.80552,6,1.750003,1.598217,1.576256,1.533111,1.368971,448680536969290,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY NODEBLEND BLENDED BRIGHT 
201.26747255533,48.7091679558323,15.39487,12.24827,11.55604,11.29246,13.18589,6,1.482609,1.145114,1.226346,1.042709,1.146541,483856252014610,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 SATURATED INTERP COSMIC_RAY CHILD BRIGHT 
201.267483280643,48.7091813575715,15.39538,12.24837,11.55619,11.29233,13.1257,6,1.482609,1.145114,1.226346,1.042709,1.146541,453078583476234,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SATURATED INTERP BLENDED BRIGHT 
201.267505443132,48.7091865933314,15.17741,12.25616,11.56962,11.32708,12.8912,6,1.482635,1.145212,1.228242,1.043296,1.147463,448818512793608,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
201.267505447489,48.7091865950478,15.02,12.26838,11.58663,11.3453,12.69021,6,1.482635,1.145212,1.228242,1.043296,1.147463,483856285569040,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
