#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
138.475531297626,20.9991405276526,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,338662265852172,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER DEBLEND_UNASSIGNED_FLUX NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO BLENDED EDGE 
138.47553314412,20.9991481933729,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,307891441897806,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER SATUR_CENTER TOO_FEW_DETECTIONS NODEBLEND_MOVING MOVED BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
138.097578008627,21.070496404223,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,308007406014798,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE DEBLENDED_AS_MOVING MOVED BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
137.944962537042,21.0595691593301,24.1792,25.05318,-9999,22.06334,21.18696,6,1.177491,1.049305,0,0.847016,0.8285901,281543964623108,TOO_FEW_GOOD_DETECTIONS STATIONARY BINNED1 NOPETRO EDGE 
138.192886257069,21.1055798431987,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,308007406014798,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE DEBLENDED_AS_MOVING MOVED BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
138.192886636698,21.1055708478667,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,343196073595140,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE NODEBLEND_MOVING MOVED BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO EDGE 
138.522924287536,21.3250357141781,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,68988305668,STATIONARY BINNED1 SATURATED INTERP NOPETRO EDGE 
138.36255390838,21.2965586478496,25.64328,24.92814,-9999,24.68536,19.70706,6,1.05625,1.126192,0,0.8551989,0.8759571,439804919681284,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP COSMIC_RAY NOPETRO EDGE 
137.726697803038,21.6022598960103,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,26457267376390,INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO EDGE BRIGHT 
137.726695397785,21.6022478769269,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,307932244611332,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO EDGE 
137.787199158869,21.4301472850625,-9999,22.92164,-9999,-9999,-9999,6,0,1.076032,0,0,0,439804919677188,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP NOPETRO EDGE 
