#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
200.339597249231,64.8727969258908,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,26457267376462,INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
200.339465438514,64.8727968464459,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,343127354118404,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO EDGE 
200.011760659219,64.9298092760244,22.11996,25.86952,-9999,24.28127,23.16475,6,1.36567,1.388627,0,1.144643,1.189514,439804919677188,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP NOPETRO EDGE 
200.227270893068,64.4676226026517,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,343191778103630,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE DEBLENDED_AS_MOVING MOVED BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
200.227236619897,64.4676095130283,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,347595730718988,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX PEAKS_TOO_CLOSE NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO BLENDED EDGE 
200.238454528797,64.4784389072314,25.54811,25.60221,-9999,22.26417,23.61569,6,1.448181,1.522912,0,1.303258,1.240873,299067431321860,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER BINNED1 INTERP NOPETRO EDGE 
200.274501664775,64.4253260741074,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,307863524610382,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER SATUR_CENTER BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
200.274519848285,64.425317336583,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,343059238621452,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO BLENDED EDGE 
200.016093438102,64.4521300949334,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,343123059147084,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 NOTCHECKED SATURATED INTERP NOPETRO NODEBLEND BLENDED EDGE 
200.035895476614,64.4505645966821,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,299067432108292,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER BINNED1 NOTCHECKED SATURATED INTERP NOPETRO EDGE 
200.116339448275,64.8963585235813,-9999,25.56,-9999,-9999,20.89439,6,0,1.487929,0,0,1.268142,439804919681284,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP COSMIC_RAY NOPETRO EDGE 
